"교수명","연구실명","공식 핵심 분야","의도 분류","직접 검색어","관련 검색어","공식 근거 URL"
"권혁준","첨단전자소자 그룹","반도체 소자·공정 | 레이저 기반 반도체 공정 | 유연·웨어러블 전자소자 | AI 소자","semiconductor-device | bioelectronics | memory-semiconductor","반도체 소자 | 반도체 공정 | semiconductor device | semiconductor fabrication | 레이저 반도체 공정 | laser fabrication | 산화물 반도체 | oxide semiconductor | 유연 전자소자 | flexible electronics | AI 소자 | ai device","나노전자소자 | 웨어러블 플랫폼 | 메모리 소자","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://line.dgist.ac.kr/"
"길현재","차세대 경험 및 기술 연구실","HCI·UX | VR·AR 인터페이스 | 멀티센서리 인터랙션 | 햅틱","hci-xr","HCI | UX | 사용자 경험 | human computer interaction | user experience | VR | AR | 가상현실 | 증강현실 | 멀티센서리 인터랙션 | multisensory interaction | 햅틱 | haptics","텍스트 입력 | 차세대 인터페이스","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://dgist-netlab.github.io/"
"김가인","신호처리 회로 및 시스템 연구실","아날로그·혼성신호 회로 | 고속 유선 트랜시버 | 통신 회로 | 하드웨어 가속기","integrated-circuit | communication-network | signal-processing","회로설계 | 아날로그 회로 | analog circuit | 혼성신호 회로 | mixed signal circuit | 집적회로 | IC design | 통신 회로 | communication circuit | 고속 유선 트랜시버 | wireline transceiver | SerDes | ADC | 멀티칩 하드웨어 가속기 | hardware accelerator","RFSoC | OFDM | chip to chip","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"김경대","자율시스템 계획 및 제어 연구실(ARC Lab)","자율시스템 계획 | 자율시스템 제어 | 경로계획·의사결정","autonomous-control","자율시스템 | autonomous system | 자율 시스템 계획 | planning of autonomous systems | 자율 시스템 제어 | control of autonomous systems | 경로 계획 | path planning | 의사결정 | decision making","로봇 제어 | 최적 제어","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://arc.dgist.ac.kr/"
"김기섭","인공지능 소프트웨어공학 연구실","AI 소프트웨어공학 | 소프트웨어공학을 위한 AI | 멀티에이전트 시스템 | LLM 소프트웨어 분석","ai-ml | compiler-programming | data-mining | multimodal-generative","AI for software engineering | 소프트웨어공학 AI | software engineering for AI | AI 소프트웨어공학 | 멀티에이전트 시스템 | multi agent systems | 소프트웨어 분석 | software analytics | LLM 소프트웨어 | 대규모 언어모델 소프트웨어","제조 AI | AI 에이전트 | 코드 생성","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://base.dgist.ac.kr/"
"김백규","고신뢰성 소프트웨어 시스템 연구실","임베디드 소프트웨어 | 정형기법·소프트웨어 검증 | 사이버물리시스템 | 자율시스템","embedded-iot | operating-real-time | formal-verification | autonomous-control | distributed-systems","임베디드 | 임베디드 소프트웨어 | embedded software | IoT | 사물인터넷 | internet of things | 정형기법 | formal method | 소프트웨어 검증 | software verification | 사이버물리시스템 | cyber physical system | CPS | 자율시스템","모델 기반 개발 | 하드웨어 소프트웨어 통합 | 분산 컴퓨팅 | 실시간 시스템","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://hass.dgist.ac.kr/"
"김선준","스마트 입력장치 연구실","HCI | 스마트 입력장치 | 터치스크린 인터랙션 | 텍스트 입력","hci-xr","HCI | human computer interaction | 스마트 입력장치 | smart input device | 텍스트 입력 | text entry | 터치스크린 | touch screen | 포인팅 | pointing | 인터랙션 디자인","사용자 인터페이스 | 입력기술","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"김영식","프라이버시 및 응용 암호 연구실","응용암호 | 양자내성암호 | AI 보안 | 프라이버시 강화 기술 | 차량 보안","security-cryptography","정보보안 | 보안 | 암호 | cryptography | 응용암호 | applied cryptography | 양자내성암호 | post quantum cryptography | AI 보안 | ai security | 프라이버시 | privacy enhancing technology | 동형암호 | homomorphic encryption | 차량 보안 | vehicular security","암호 프로토콜 | 보안 머신러닝","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"김윤승","무결점시스템 연구실","정형검증 | 대화형 정리증명 | 실시간 분산시스템 | 프로그래밍언어","formal-verification | compiler-programming | operating-real-time | distributed-systems","정형검증 | formal verification | 대화형 정리증명 | interactive theorem proving | 실시간 분산시스템 | real time distributed systems | 프로그래밍 언어 | programming language | 무결점 시스템","소프트웨어 검증 | 분산 시스템 | 정리 증명","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://dgist-vesl.github.io/"
"목지수","자연어 기반 멀티모달 지능 연구실","대규모 언어모델 | 멀티모달 모델링 | 신뢰가능 AI | AI 에이전트","ai-ml | multimodal-generative","LLM | 대규모 언어모델 | large language model | 멀티모달 | multimodal modeling | 멀티모달 LLM | multimodal large language model | AI 에이전트 | ai agent | 비전 언어 행동 모델 | vision language action | 신뢰가능 AI | trustworthy AI","구조화 데이터 AI | AI 평가","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"박경준","사이버물리시스템 통합 연구실","사이버물리시스템 | ROS | 스마트 제조 | 네트워크·제어·컴퓨팅 통합","embedded-iot | operating-real-time | autonomous-control | security-cryptography | distributed-systems","사이버물리시스템 | cyber physical system | CPS | ROS | robot operating system | 스마트 제조 | smart manufacturing | 네트워크 제어 컴퓨팅 동시설계 | 사이버 물리 융합보안","자율이동로봇 | physical AI | 실시간 제어","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://csi.dgist.ac.kr/"
"박대희","지능 시스템 및 학습 연구실","의사결정 AI | 멀티모달 학습 | 컴퓨터비전 | 자율시스템","ai-ml | autonomous-control | computer-vision | multimodal-generative","의사결정 AI | decision making AI | 멀티모달 학습 | multimodal learning | 컴퓨터비전 | computer vision | 자율시스템 | autonomous systems | 예측 계획 | prediction planning","자율주행 | 로봇 AI | 딥러닝","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://isl.dgist.ac.kr"
"배인환","시각 및 물리 지능 연구실","컴퓨터비전 | 생성형 AI | 3D 장면 이해 | Physical AI","ai-ml | computer-vision | multimodal-generative","컴퓨터비전 | computer vision | 생성형 AI | generative AI | 확산 모델 | diffusion model | 3D 장면 이해 | 3d scene understanding | 시각 언어 모델 | vision language model | Physical AI | 궤적 예측 | trajectory","AI for social good | 군중 행동 모델링","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://ihbae.com"
"서대원","정보 및 학습이론 연구실","무선통신 | 정보이론 | 머신러닝 이론 | 네트워크 학습","communication-network | ai-ml | signal-processing","무선통신 | wireless communications | 정보이론 | information theory | 머신러닝 이론 | machine learning theory | 네트워크 학습 | learning over networks","통신이론 | 분산학습","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"소진현","코어 인공지능 연구실","분산 AI | 연합학습 | 온디바이스 AI | 프라이버시 보존 학습 | 멀티모달 AI","ai-ml | distributed-systems | multimodal-generative","분산 AI | distributed AI | 연합학습 | federated learning | 온디바이스 AI | on device AI | 프라이버시 보존 머신러닝 | privacy preserving machine learning | 협업학습 | collaborative learning | 멀티모달 AI","신뢰가능 AI | 엣지 AI","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"송민영","무선 집적 시스템 설계 연구실","아날로그·혼성신호·RF IC | 저전력 무선센서 시스템 | IoT 연결 회로 | Cryo-CMOS","integrated-circuit | embedded-iot | communication-network | wireless-sensing | bioelectronics","회로설계 | 아날로그 회로 | analog circuit | 혼성신호 | mixed signal | RFIC | RF IC | 무선 집적회로 | wireless IC | 저전력 무선센서 | low power wireless sensor | IoT | 사물인터넷 | ultra wideband | UWB | Cryo CMOS | 양자 센싱 회로","블루투스 | 임플란터블 디바이스 | 신경 인터페이스 회로","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://wise.dgist.ac.kr"
"신동훈","계산 이론 및 응용 연구실","계산이론 | 무선센서네트워크 | 주요 인프라 보안 | 계산기하·그래프이론","compiler-programming | embedded-iot | security-cryptography | communication-network","계산이론 | theory of computation | 계산기하 | computational geometry | 그래프이론 | graph theory | 무선센서네트워크 | wireless sensor network | 주요 인프라 보안 | critical infrastructure security | ICS 보안 | 산업제어시스템 보안","알고리즘 | 이산수학 | 네트워크 보안","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://algo.dgist.ac.kr/"
"윤성훈","멀티모달 지능 연구실","멀티모달 AI | 의료 AI | Physical·Robotics AI","ai-ml | medical-imaging | multimodal-generative","멀티모달 AI | multimodal AI | 의료 AI | medical AI | Physical AI | robotics AI | 로봇 AI","멀티모달 학습 | 의료영상 AI","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://mip-dgist.github.io/"
"윤종혁","지능형 집적 회로 및 시스템 연구실","인메모리 컴퓨팅 | AI 집적회로 | 엣지 지능 | 고속 트랜시버 IC","integrated-circuit | computer-architecture | ai-ml | memory-semiconductor | neuromorphic-computing","메모리 반도체 | 인메모리 컴퓨팅 | in memory computing | processing in memory | PIM | 뉴로모픽 | neuromorphic | AI 집적회로 | AI integrated IC | 집적회로 | 회로설계 | 혼성신호 회로 | mixed signal circuit | 엣지 지능 | edge intelligence | 고속 트랜시버 | transceiver IC | clock data recovery","에지 로보틱스 | Ethernet transceiver | 시스템반도체","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://iicsl.dgist.ac.kr/"
"은용순","동적 시스템 및 제어 연구실","강인 제어시스템 | 비선형 센서·액추에이터 제어 | 네트워크 제어 | 지능형 교통시스템","autonomous-control | distributed-systems","강인 제어 | resilient control | 비선형 센서 액추에이터 제어 | nonlinear sensors and actuators | 네트워크 제어 | networked control | 준선형 제어 | quasi linear control | 지능형 교통시스템 | intelligent transportation system","동적 시스템 | 제어이론","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://dsc.dgist.ac.kr/"
"이경태","센서시스템 연구실","바이오메디컬 센서 시스템 | 저전력 센서 IC | 배터리 관리 IC | 바이오메디컬 회로","integrated-circuit | bioelectronics","센서 IC | sensor IC | 저전력 센서 회로 | low power sensor IC | 바이오메디컬 센서 | biomedical sensor | 배터리 관리 IC | battery management IC | BMS IC | 바이오메디컬 회로 | biomedical circuit","암 방사선치료 센서 | 센서 시스템","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"이기준","양자 및 의광학 연구실","확산광 단층촬영 | 생체광학 | 근적외선 분광 | 양자광학 | 혈류 영상","medical-imaging | ultrasound-optics","확산광 단층촬영 | diffuse optical tomography | DOT | 생체광학 | biomedical optics | 근적외선 분광 | NIRS | 기능성 근적외선 분광 | fNIRS | 스펙클 혈류 | speckle contrast | 양자광학 | quantum optics | 혈류 모니터링","비선형 광학 | 랜덤 레이저 | 의광학","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"이민선","광자 및 방사선 의료영상 연구실","PET 의료영상 | 나노포토닉 방사선 센서 | 의료영상 AI 정량화 | 광자 수송 모델링","medical-imaging | ultrasound-optics | ai-ml","PET | 양전자방출단층촬영 | positron emission tomography | 방사선 의료영상 | radiation medical imaging | 나노포토닉 방사선 센서 | nanophotonic radiation sensor | 의료영상 정량화 | medical image quantification | 광자 수송 모델링 | photon transport","차세대 의료영상기기 | 입자 수송","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"이병권","전산광학 및 생체광자학 영상 연구실","광간섭단층촬영 | 망막 영상 | 파장가변 레이저 | 3D k-space 영상처리","medical-imaging | ultrasound-optics | signal-processing","OCT | 광간섭단층촬영 | optical coherence tomography | 망막 영상 | retinal imaging | 파장가변 레이저 | wavelength swept laser | 전산광학 | computational optics | 3D k space 영상처리 | 푸리에 영상처리","간섭계 현미경 | 생체광자학","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"이병문","첨단전자소자 그룹","스킨 일렉트로닉스 | 지능형 의수·바이오전자 | 유연 전자소자 | 적층 제조","semiconductor-device | bioelectronics","스킨 일렉트로닉스 | skin electronics | 전자피부 | bioelectronics | 바이오전자 | 지능형 의수 | intelligent prosthetic | 유연 전자소자 | flexible electronics | 적층 제조 | additive manufacturing","웨어러블 전자 | 에너지 소자 | 소프트 전자","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://www.byeongmoon.com/"
"이용우","컴파일러 및 런타임 시스템 연구실","컴파일러 최적화 | 동형암호 컴파일러 | GPU·AI 컴파일러 | 도메인 특화 컴파일러","compiler-programming","컴파일러 | compiler | 컴파일러 최적화 | compiler optimization | 동형암호 컴파일러 | homomorphic encryption compiler | GPU 컴파일러 | AI 컴파일러 | 도메인 특화 컴파일러 | domain specific compiler | 런타임 시스템 | runtime system","그래프 컴파일러 | 코드 최적화","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://www.coruslab.or.kr/"
"이정협","집적 나노시스템 연구실","아날로그·혼성신호 IC | 스마트 센서 시스템 | 저전력 ADC | BCI 마이크로시스템","integrated-circuit | bioelectronics","회로설계 | 아날로그 회로 | analog IC | 혼성신호 회로 | mixed signal IC | 집적회로 | IC design | 스마트 센서 시스템 | smart sensor system | ADC | 저전력 회로 | low power circuit | BCI 마이크로시스템 | body channel communication","바이오메디컬 IC | 센서 인터페이스","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://ins.dgist.ac.kr/"
"이효근","고신뢰성 대규모 컴퓨터 시스템 연구실","컴퓨터구조 | 자원 분리형 시스템 | 메모리 기술 | 대규모 컴퓨터 시스템","computer-architecture | distributed-systems | memory-semiconductor","컴퓨터구조 | computer architecture | 자원 분리 | resource disaggregation | 메모리 기술 | memory technologies | 메모리 시스템 | memory system | 대규모 컴퓨터 시스템 | computer systems | 프로세서 구조 | server architecture","고신뢰성 시스템 | 데이터센터 시스템","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://relacslab.github.io/"
"장재은","첨단전자소자 그룹","첨단 반도체 소자 | 인공 감각 센서 | 인공뇌 하드웨어 | 바이오전자·HMI","semiconductor-device | bioelectronics | neuromorphic-computing","반도체 소자 | advanced semiconductor device | 나노전자소자 | nanoelectronic device | 뉴로모픽 | 인공뇌 하드웨어 | artificial brain hardware | 인공 감각 센서 | artificial sensor | 휴먼 머신 인터페이스 | human machine interface | HMI | 햅틱 소자 | haptic device | 바이오전자","생체모방 디바이스 | 나노 통신 디바이스","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://nano.dgist.ac.kr/"
"장준기","데이터 인텔리전스 연구실","데이터마이닝 | 대규모 데이터 분석 | 텐서 마이닝 | 시계열 분석","data-mining | ai-ml","데이터마이닝 | data mining | 대규모 데이터 분석 | large scale data analytics | 텐서 마이닝 | tensor mining | 시계열 분석 | time series analysis | 응용 데이터과학 | applied data science","빅데이터 | 데이터 인텔리전스","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"장진호","의료융합기술 연구실","의료 초음파 영상·치료 | 광음향 영상 | 초음파 센서 | 의료영상 AI","medical-imaging | ultrasound-optics | signal-processing | ai-ml | bioelectronics | ultrasound","초음파 | ultrasound | 의료 초음파 | medical ultrasound | 초음파 영상 | ultrasound imaging | 초음파 치료 | ultrasound therapy | 광음향 영상 | photoacoustic imaging | 초음파 센서 | ultrasound transducer | 의료영상 AI | medical imaging AI | 생체신호 영상처리","초음파 광 융합 | 의료영상 딥러닝","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://mafi.dgist.ac.kr/"
"전민석","프로그래밍 언어 연구실","프로그래밍언어 | 소프트웨어공학 | 프로그램 합성 | 설명가능 AI 언어","compiler-programming | ai-ml","프로그래밍 언어 | programming language | 소프트웨어공학 | software engineering | 프로그램 합성 | program synthesis | 도메인 특화 언어 | DSL | 머신러닝 프로그래밍 언어 | PL4ML | 설명가능 AI 프로그래밍","코드 분석 | 언어 설계","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://dgistpl.github.io/"
"좌훈승","실시간 컴퓨팅 연구실","실시간 시스템 | 실시간 AI 서비스 | 사이버물리시스템 | 모바일 시스템","operating-real-time | embedded-iot | distributed-systems","운영체제 | operating system | 실시간 시스템 | real time system | 실시간 AI 서비스 | real time AI | 사이버물리시스템 | CPS | 모바일 시스템 | mobile system | 실시간 컴퓨팅 | real time computing","스케줄링 | 임베디드 시스템 | 실시간 운영체제 | RTOS","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://rtcl.dgist.ac.kr/"
"최상현","Emerging Semiconductor Device Technology Laboratory","멤리스터 | 차세대 반도체 소자 | 인메모리·뉴로모픽 컴퓨팅 | 3D 소자 구조","semiconductor-device | memory-semiconductor | neuromorphic-computing","멤리스터 | memristor | 차세대 반도체 소자 | emerging semiconductor device | 뉴로모픽 | neuromorphic computing | 인메모리 컴퓨팅 | in memory computing | 메모리 반도체 | 3D 소자 구조 | 3d architecture | 스위칭 소자 | emerging switching device | AI 가속기 | bio inspired computing","크로스바 회로 | post CMOS | 메모리 소자","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://scholar.dgist.ac.kr/researcher/f2829aee-89a2-4f55-aa89-f8eb04a4f960 | https://tkdgus299.wixsite.com/mysite"
"최원석","암호 및 정보보호 연구실","양자·양자내성암호 | 분산컴퓨팅·블록체인 | 프라이버시 강화 기술 | AI·ML 보안 응용","security-cryptography | distributed-systems","정보보안 | 암호 | cryptography | 양자암호 | quantum cryptography | 양자내성암호 | post quantum cryptography | 분산 컴퓨팅 | distributed computing | 블록체인 | blockchain | 프라이버시 강화 기술 | privacy enhancing technology | 동형암호 | homomorphic encryption","AI 보안 응용 | 보안 프로토콜","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://wonseok-crypto.github.io/"
"최재호","지능형 무선 센싱 연구실","Radio+AI | 레이더 신호처리 | 무선센싱 | 센서융합","wireless-sensing | signal-processing | communication-network | ai-ml","무선센싱 | wireless sensing | 레이더 신호처리 | radar signal processing | 센서융합 | sensor fusion | Radio AI | 무선 AI | 원격센싱 | remote sensing | 디지털 휴먼","헬스케어 무선센싱 | 국방 무선센싱","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://irslabdgist.github.io"
"최지웅","통신 및 신호처리 연구실","통신시스템·신호처리 | 5G·6G·V2X | 차량통신 보안 | BCI·생체신호","communication-network | signal-processing | security-cryptography | bioelectronics","통신 | communications | 통신시스템 | communication system | 신호처리 | signal processing | 5G | 6G | V2X | 차량통신 | vehicular communication | 차량 보안 | vehicular security | BCI | BMI | 뇌 컴퓨터 인터페이스 | 생체신호 처리","자기 통신 | 에너지 전송 | 교차계층 통신","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://comm.dgist.ac.kr/"
"황재윤","다중의료영상 및 시스템 연구실","다중의료영상 | 초음파 신호처리 | 광학 분광영상 | 의료영상 AI | 지능형 원격센싱","medical-imaging | ultrasound-optics | signal-processing | ai-ml | multimodal-generative | ultrasound","초음파 | ultrasound | 초음파 신호처리 | ultrasound signal processing | 다중의료영상 | multimodal imaging | 의료영상 | medical imaging | 광학 분광영상 | optical spectral imaging | 의료영상 AI | AI medical image analysis | 고주파 초음파 | remote sensing AI","스마트 헬스케어 | 생체광학 시스템","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | http://mbis.dgist.ac.kr/"